_time,src_ip,request_method,request_path,status,bytes_sent,backend_ip,user_agent
2025-01-07T10:15:23,210.40.67.189,GET,/login/page1.html,200,2345,192.168.1.10,Mozilla/5.0
2025-01-07T10:15:24,109.1.32.184,POST,/login/authenticate,401,512,192.168.1.10,Mozilla/5.0
2025-01-07T10:15:25,164.89.174.56,GET,/dashboard/home,200,8234,192.168.1.11,Chrome/120.0
2025-01-07T10:15:26,133.253.141.113,DELETE,/api/users/123,403,128,192.168.1.12,curl/7.68
2025-01-07T10:15:27,54.195.232.76,GET,/profile/settings,200,4521,192.168.1.10,Firefox/115
2025-01-07T10:15:28,2.66.93.81,POST,/login/authenticate,401,512,192.168.1.10,Python-requests
2025-01-07T10:15:29,38.42.233.128,GET,/about/contact,200,3245,192.168.1.11,Safari/17.0
2025-01-07T10:15:30,179.232.2.93,PUT,/api/config,500,256,192.168.1.12,curl/7.68
2025-01-07T10:15:31,161.72.115.0,GET,/home/index.html,200,5678,192.168.1.10,Chrome/120.0
2025-01-07T10:15:32,26.39.141.105,POST,/login/authenticate,401,512,192.168.1.10,Mozilla/5.0
2025-01-07T10:16:01,210.40.67.189,POST,/login/authenticate,401,512,192.168.1.10,Mozilla/5.0
2025-01-07T10:16:02,210.40.67.189,POST,/login/authenticate,401,512,192.168.1.10,Mozilla/5.0
2025-01-07T10:16:03,210.40.67.189,POST,/login/authenticate,401,512,192.168.1.10,Mozilla/5.0
2025-01-07T10:16:04,210.40.67.189,POST,/login/authenticate,200,1024,192.168.1.10,Mozilla/5.0
2025-01-07T10:16:10,109.1.32.184,DELETE,/api/data/export,403,128,192.168.1.12,Python-requests
2025-01-07T10:16:11,109.1.32.184,DELETE,/api/data/backup,403,128,192.168.1.12,Python-requests
2025-01-07T10:16:12,109.1.32.184,DELETE,/api/users/all,403,128,192.168.1.12,Python-requests
2025-01-07T10:16:20,192.168.50.100,GET,/admin/panel,200,9876,192.168.1.13,Chrome/120.0
2025-01-07T10:16:21,192.168.50.101,GET,/dashboard/reports,200,7654,192.168.1.11,Firefox/115
2025-01-07T10:16:22,10.0.0.55,POST,/api/upload,201,256,192.168.1.12,curl/7.68
2025-01-07T10:17:01,164.89.174.56,GET,/logout,302,128,192.168.1.10,Chrome/120.0
2025-01-07T10:17:02,54.195.232.76,GET,/register/form,200,4567,192.168.1.10,Firefox/115
2025-01-07T10:17:03,133.253.141.113,POST,/login/authenticate,401,512,192.168.1.10,curl/7.68
2025-01-07T10:17:04,133.253.141.113,POST,/login/authenticate,401,512,192.168.1.10,curl/7.68
2025-01-07T10:17:05,133.253.141.113,POST,/login/authenticate,401,512,192.168.1.10,curl/7.68
2025-01-07T10:17:06,2.66.93.81,GET,/api/status,200,128,192.168.1.12,Python-requests
2025-01-07T10:17:10,38.42.233.128,DELETE,/api/records/456,500,256,192.168.1.12,curl/7.68
2025-01-07T10:17:11,179.232.2.93,GET,/home/search?q=admin,200,3456,192.168.1.10,Chrome/120.0
2025-01-07T10:17:12,161.72.115.0,POST,/contact/submit,201,512,192.168.1.11,Safari/17.0
2025-01-07T10:17:13,26.39.141.105,GET,/profile/view,200,4321,192.168.1.10,Mozilla/5.0
2025-01-07T10:18:01,45.67.89.123,GET,/robots.txt,200,128,192.168.1.10,Googlebot/2.1
2025-01-07T10:18:02,45.67.89.124,GET,/sitemap.xml,200,2048,192.168.1.10,Bingbot/2.0
2025-01-07T10:18:03,98.76.54.32,GET,/admin/login,404,256,192.168.1.13,curl/7.68
2025-01-07T10:18:04,98.76.54.32,GET,/wp-admin,404,256,192.168.1.13,curl/7.68
2025-01-07T10:18:05,98.76.54.32,GET,/phpmyadmin,404,256,192.168.1.13,curl/7.68
2025-01-07T10:18:06,98.76.54.32,GET,/.env,403,128,192.168.1.13,curl/7.68
2025-01-07T10:18:07,98.76.54.32,GET,/config.php,403,128,192.168.1.13,curl/7.68
2025-01-07T10:18:08,98.76.54.32,GET,/backup.sql,403,128,192.168.1.13,curl/7.68
2025-01-07T10:19:01,210.40.67.189,GET,/dashboard/main,200,8765,192.168.1.11,Mozilla/5.0
2025-01-07T10:19:02,164.89.174.56,POST,/api/data,201,512,192.168.1.12,Chrome/120.0
2025-01-07T10:19:03,54.195.232.76,GET,/profile/edit,200,4567,192.168.1.10,Firefox/115
2025-01-07T10:19:04,179.232.2.93,DELETE,/api/cache,200,64,192.168.1.12,curl/7.68
2025-01-07T10:19:05,161.72.115.0,GET,/home/news,200,6543,192.168.1.10,Chrome/120.0
2025-01-07T10:19:10,172.16.0.50,GET,/internal/health,200,32,192.168.1.10,HealthChecker/1.0
2025-01-07T10:19:11,172.16.0.51,GET,/internal/metrics,200,1024,192.168.1.10,Prometheus/2.0
2025-01-07T10:19:12,172.16.0.52,GET,/internal/ready,200,16,192.168.1.10,Kubernetes/1.28
2025-01-07T10:20:01,109.1.32.184,POST,/login/authenticate,200,1024,192.168.1.10,Python-requests
2025-01-07T10:20:02,109.1.32.184,GET,/api/users,200,8192,192.168.1.12,Python-requests
2025-01-07T10:20:03,109.1.32.184,GET,/api/data/sensitive,401,128,192.168.1.12,Python-requests

